Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Ninguna;239,1
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Leve;16,5
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Moderada;8,5
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Moderadamente grave;3,1
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;Grave;0,7
Hombres;Total Nacional;15 Navarra, Comunidad Foral de;No consta;1,7
Hombres;Total Nacional;16 País Vasco;TOTAL;895,0
Hombres;Total Nacional;16 País Vasco;Ninguna;779,2
Hombres;Total Nacional;16 País Vasco;Leve;75,2
Hombres;Total Nacional;16 País Vasco;Moderada;18,3
Hombres;Total Nacional;16 País Vasco;Moderadamente grave;7,3
Hombres;Total Nacional;16 País Vasco;Grave;3,2
Hombres;Total Nacional;16 País Vasco;No consta;11,8
Hombres;Total Nacional;17 Rioja, La;TOTAL;131,1
Hombres;Total Nacional;17 Rioja, La;Ninguna;122,8
Hombres;Total Nacional;17 Rioja, La;Leve;4,6
Hombres;Total Nacional;17 Rioja, La;Moderada;1,9
Hombres;Total Nacional;17 Rioja, La;Moderadamente grave;0,1
Hombres;Total Nacional;17 Rioja, La;Grave;0,8
Hombres;Total Nacional;17 Rioja, La;No consta;1,0
Hombres;Total Nacional;18 Ceuta;TOTAL;33,6
Hombres;Total Nacional;18 Ceuta;Ninguna;31,0
Hombres;Total Nacional;18 Ceuta;Leve;2,0
Hombres;Total Nacional;18 Ceuta;Moderada;0,0
Hombres;Total Nacional;18 Ceuta;Moderadamente grave;0,6
Hombres;Total Nacional;18 Ceuta;Grave;0,0
Hombres;Total Nacional;18 Ceuta;No consta;0,0
Hombres;Total Nacional;19 Melilla;TOTAL;32,0
Hombres;Total Nacional;19 Melilla;Ninguna;28,9
Hombres;Total Nacional;19 Melilla;Leve;3,0
Hombres;Total Nacional;19 Melilla;Moderada;0,0
Hombres;Total Nacional;19 Melilla;Moderadamente grave;0,0
Hombres;Total Nacional;19 Melilla;Grave;0,0
Hombres;Total Nacional;19 Melilla;No consta;0,0
Mujeres;Total Nacional;;TOTAL;20.525,0
Mujeres;Total Nacional;;Ninguna;17.074,1
Mujeres;Total Nacional;;Leve;2.146,3
Mujeres;Total Nacional;;Moderada;670,0
Mujeres;Total Nacional;;Moderadamente grave;335,5
Mujeres;Total Nacional;;Grave;179,2
Mujeres;Total Nacional;;No consta;119,9
Mujeres;Total Nacional;01 Andalucía;TOTAL;3.623,4
Mujeres;Total Nacional;01 Andalucía;Ninguna;3.180,2
Mujeres;Total Nacional;01 Andalucía;Leve;278,6
Mujeres;Total Nacional;01 Andalucía;Moderada;91,4
Mujeres;Total Nacional;01 Andalucía;Moderadamente grave;44,3
Mujeres;Total Nacional;01 Andalucía;Grave;15,1
Mujeres;Total Nacional;01 Andalucía;No consta;13,8
Mujeres;Total Nacional;02 Aragón;TOTAL;570,9
Mujeres;Total Nacional;02 Aragón;Ninguna;459,4
Mujeres;Total Nacional;02 Aragón;Leve;78,8
Mujeres;Total Nacional;02 Aragón;Moderada;23,6
Mujeres;Total Nacional;02 Aragón;Moderadamente grave;4,5
Mujeres;Total Nacional;02 Aragón;Grave;4,1
Mujeres;Total Nacional;02 Aragón;No consta;0,5
Mujeres;Total Nacional;03 Asturias, Principado de;TOTAL;471,1
Mujeres;Total Nacional;03 Asturias, Principado de;Ninguna;401,3
Mujeres;Total Nacional;03 Asturias, Principado de;Leve;44,1
Mujeres;Total Nacional;03 Asturias, Principado de;Moderada;7,5
Mujeres;Total Nacional;03 Asturias, Principado de;Moderadamente grave;5,6
Mujeres;Total Nacional;03 Asturias, Principado de;Grave;3,6
Mujeres;Total Nacional;03 Asturias, Principado de;No consta;9,0
Mujeres;Total Nacional;04 Balears, Illes;TOTAL;518,3
Mujeres;Total Nacional;04 Balears, Illes;Ninguna;459,2
Mujeres;Total Nacional;04 Balears, Illes;Leve;31,2
Mujeres;Total Nacional;04 Balears, Illes;Moderada;23,9
Mujeres;Total Nacional;04 Balears, Illes;Moderadamente grave;2,7
Mujeres;Total Nacional;04 Balears, Illes;Grave;0,0
Mujeres;Total Nacional;04 Balears, Illes;No consta;1,3
Mujeres;Total Nacional;05 Canarias;TOTAL;982,8
Mujeres;Total Nacional;05 Canarias;Ninguna;838,8
Mujeres;Total Nacional;05 Canarias;Leve;99,4
Mujeres;Total Nacional;05 Canarias;Moderada;18,9
Mujeres;Total Nacional;05 Canarias;Moderadamente grave;10,7
Mujeres;Total Nacional;05 Canarias;Grave;11,2
Mujeres;Total Nacional;05 Canarias;No consta;3,8
Mujeres;Total Nacional;06 Cantabria;TOTAL;258,1
Mujeres;Total Nacional;06 Cantabria;Ninguna;242,7
Mujeres;Total Nacional;06 Cantabria;Leve;4,2
Mujeres;Total Nacional;06 Cantabria;Moderada;7,0
Mujeres;Total Nacional;06 Cantabria;Moderadamente grave;2,2
Mujeres;Total Nacional;06 Cantabria;Grave;1,2
Mujeres;Total Nacional;06 Cantabria;No consta;0,8
Mujeres;Total Nacional;07 Castilla y León;TOTAL;1.048,0
Mujeres;Total Nacional;07 Castilla y León;Ninguna;757,8
Mujeres;Total Nacional;07 Castilla y León;Leve;180,9
Mujeres;Total Nacional;07 Castilla y León;Moderada;64,1
Mujeres;Total Nacional;07 Castilla y León;Moderadamente grave;28,4
Mujeres;Total Nacional;07 Castilla y León;Grave;13,6
Mujeres;Total Nacional;07 Castilla y León;No consta;3,3
Mujeres;Total Nacional;08 Castilla - La Mancha;TOTAL;853,2
Mujeres;Total Nacional;08 Castilla - La Mancha;Ninguna;756,6
Mujeres;Total Nacional;08 Castilla - La Mancha;Leve;62,1
Mujeres;Total Nacional;08 Castilla - La Mancha;Moderada;19,5
Mujeres;Total Nacional;08 Castilla - La Mancha;Moderadamente grave;7,1
Mujeres;Total Nacional;08 Castilla - La Mancha;Grave;5,5
Mujeres;Total Nacional;08 Castilla - La Mancha;No consta;2,3
Mujeres;Total Nacional;09 Cataluña;TOTAL;3.290,4
Mujeres;Total Nacional;09 Cataluña;Ninguna;2.770,0
